student_id,college_id,admission_id
1005,1,10528
1015,2,10532
1020,3,16650
1047,4,243176
1064,5,12785
1107,6,243164
1113,7,10434
1116,8,13429
1119,9,15913
1125,10,15964
1128,11,16652
1136,12,17409
1159,13,10700
1168,14,12787
1175,15,17420
1209,16,15852
1215,17,12793
1228,18,10480
1252,19,10642
1261,20,10476
1263,21,10697
1273,22,10274
1284,23,10429
1286,24,17408
1297,25,10377
1341,26,10746
1350,27,17421
1376,28,10228
1424,29,10371
1463,30,10183
1464,31,15846
1475,32,15853
1501,33,16653
1524,34,15851
1534,35,17403
1568,36,15914
1594,37,10526
1599,38,10661
1648,39,12788
1685,40,236687
1709,41,20355
1776,42,231300
1806,43,10496
1842,44,16596
1860,45,20359
1865,46,13422
1866,47,13428
1867,48,15092
1914,49,16651
1934,50,10373
1970,51,15090
1972,52,10797
2026,53,10432
2030,54,10699
2032,55,10422
2046,56,15848
2059,57,10366
2075,58,10225
2080,59,17414
2086,60,13442
2094,61,17478
2095,62,10321
2133,63,17415
2142,64,10650
2151,65,16595
2174,66,16598
2183,67,13430
2185,68,10370
2188,69,10372
2194,70,10652
2204,71,235289
2209,72,10367
2258,73,12789
2259,74,15091
2283,75,231414
2307,76,10090
2308,77,17477
2326,78,10799
2337,79,17471
2357,80,10474
2361,81,13234
2373,82,10423
2388,83,12528
2406,84,17413
2410,85,15013
2412,86,17416
2414,87,10498
2417,88,231374
2435,89,10320
2446,90,10046
2466,91,20354
2479,92,10374
2486,93,10803
2501,94,13301
2526,95,13431
2556,96,15012
2586,97,19311
2589,98,10368
2609,99,17476
2612,100,20360
2618,101,10431
2619,102,20361
2636,103,15850
2643,104,89558
2653,105,10477
2711,106,17470
2727,107,17507
2736,108,13420
2763,109,20362
2777,110,10649
2794,111,231316
2843,112,10552
2846,113,17404
2857,114,17422
2865,115,12782
2880,116,10529
2882,117,10798
2951,118,13432
2965,119,16593
2967,120,10643
2973,121,10701
2987,122,10663
2991,123,16654
3048,124,231213
3074,125,10796
3091,126,13419
3122,127,10229
3134,128,10442
3164,129,10583
3180,130,10757
3184,131,10801
3186,132,10755
3190,133,12529
3194,134,10714
3206,135,10804
3219,136,235236
3277,137,10174
3284,138,10270
3299,139,10169
3306,140,10554
3314,141,10355
3342,142,10770
3346,143,10267
3349,144,10213
3390,145,10034
3417,146,10260
3425,147,10820
3430,148,10814
3436,149,10272
3460,150,10772
3471,151,10168
3483,152,10445
3504,153,10646
3507,154,10490
3515,155,10079
3517,156,10262
3531,157,10360
3543,158,10351
3575,159,10764
3576,160,10541
3603,161,10036
3639,162,10176
3664,163,10387
3677,164,10710
3683,165,10167
3686,166,10708
3694,167,10443
3717,168,10449
3728,169,10121
3736,170,10087
3740,171,17479
3750,172,10361
3767,173,10318
3768,174,10124
3800,175,10451
3825,176,10767
3884,177,10088
3950,178,234704
3964,179,10311
3985,180,10494
4016,181,10543
4027,182,10396
4035,183,10392
4091,184,237311
4103,185,10175
4105,186,10178
4123,187,10553
4162,188,10718
4189,189,10818
4215,190,10760
4224,191,10660
4243,192,10707
4246,193,10030
4259,194,10444
4289,195,10706
4316,196,10544
4331,197,10120
4359,198,10774
4379,199,10702
4421,200,10029
4461,201,10546
4474,202,10659
4476,203,10086
4478,204,10180
4487,205,10171
4490,206,10716
4501,207,10551
4540,208,10393
4561,209,10492
4564,210,15911
4567,211,10074
4571,212,10350
4608,213,10362
4619,214,10665
4701,215,10307
4707,216,10547
4727,217,10667
4729,218,10076
4749,219,10811
4760,220,10773
4763,221,10450
4792,222,10759
4798,223,10437
4801,224,10545
4824,225,10039
4826,226,10713
4858,227,10125
4881,228,10440
