college_id,admission_id,gpa,sat,act,matric,university_id,hook_athlete,hook_first_gen,hook_legacy
1,10528,11,1580,35,Villanova University,216597,TRUE,FALSE,FALSE
2,10532,10.95,1520,,University of Virginia-Main Campus,234076,FALSE,FALSE,FALSE
3,16650,10.93,1550,,Boston College,164924,FALSE,FALSE,FALSE
4,243176,10.92,1580,,Amherst College,164465,FALSE,FALSE,FALSE
5,12785,10.9,1570,,Boston College,164924,TRUE,FALSE,FALSE
6,243164,10.88,1560,,Babson College,164580,TRUE,FALSE,FALSE
7,10434,10.85,1520,,Williams College,168342,TRUE,FALSE,FALSE
8,13429,10.85,1540,,Georgetown University,131496,FALSE,FALSE,FALSE
9,15913,10.85,1540,,Colby College,161086,FALSE,FALSE,FALSE
10,15964,10.83,1520,35,Brown University,217156,FALSE,FALSE,FALSE
11,16652,10.8,1580,,University of Michigan-Ann Arbor,170976,TRUE,FALSE,FALSE
12,17409,10.8,1540,36,Princeton University,186131,TRUE,FALSE,FALSE
13,10700,10.79,,34,Trinity College,130590,FALSE,FALSE,FALSE
14,12787,10.79,1430,,Loyola Marymount University,117946,FALSE,FALSE,FALSE
15,17420,10.79,,36,Dartmouth College,182670,FALSE,FALSE,FALSE
16,15852,10.78,1530,31,Boston College,164924,FALSE,FALSE,TRUE
17,12793,10.77,1500,,Emory University-Oxford College,487092,FALSE,FALSE,FALSE
18,10480,10.76,1440,35,Dartmouth College,182670,TRUE,FALSE,FALSE
19,10642,10.76,,35,,,,,
20,10476,10.74,1260,,Bowdoin College,161004,FALSE,TRUE,FALSE
21,10697,10.74,1560,,Amherst College,164465,TRUE,FALSE,FALSE
22,10274,10.73,,36,Rice University,227757,FALSE,FALSE,FALSE
23,10429,10.73,1590,,University of Chicago,144050,FALSE,FALSE,FALSE
24,17408,10.69,,36,Tulane University of Louisiana,160755,FALSE,FALSE,FALSE
25,10377,10.68,,34,Colorado College,126678,TRUE,FALSE,FALSE
26,10746,10.67,,35,Trinity College,130590,TRUE,FALSE,FALSE
27,17421,10.67,,35,Haverford College,212911,TRUE,FALSE,FALSE
28,10228,10.66,,34,Boston College,164924,FALSE,FALSE,FALSE
29,10371,10.64,1460,,Duke University,198419,FALSE,FALSE,TRUE
30,10183,10.62,,35,,,,,
31,15846,10.61,,33,University of Virginia-Main Campus,234076,FALSE,FALSE,FALSE
32,15853,10.6,1510,34,Vanderbilt University,221999,TRUE,FALSE,FALSE
33,16653,10.59,1530,,Scripps College,123165,FALSE,FALSE,FALSE
34,15851,10.58,1480,35,Columbia University in the City of New York,190150,TRUE,FALSE,TRUE
35,17403,10.58,1530,,Princeton University,186131,FALSE,FALSE,FALSE
36,15914,10.56,1370,,Hamilton College,191515,FALSE,FALSE,FALSE
37,10526,10.49,1460,,Harvard University,166027,TRUE,FALSE,TRUE
38,10661,10.49,1310,,Wesleyan University,130697,TRUE,FALSE,FALSE
39,12788,10.49,1350,,Yale University,130794,FALSE,FALSE,FALSE
