sending_ms_id,ms_name,ms_type
1,Academy of the Pacific Rim,Public
2,Acton Boxboro Regional High School,Public
3,Advent School,Independent
4,Agassiz,Public
5,Alexander Graham Middle School,Public
6,Amigos School,Public
7,Annie Sullivan Middle School,Public
8,Another Course To College,Public
9,Archbishop Williams High School,Parochial
10,Arlington High School,Public
11,Ashland Middle School,Public
12,Baldwin,Public
13,Bancroft School,Independent
14,Bartlett School,Independent
15,Bay Farm Montessori Academy,Independent
16,Beacon Academy,Independent
17,Beatrice H. Wood School,Public
18,Beaver Country Day School,Independent
19,Bedford High School,Public
20,Bellesini Academy,Independent
21,Belmont Day School,Independent
22,Belmont Hill School,Independent
23,Benjamin Banneker Public School,Public
24,Benjamin Franklin Classical Charter School,Charter
25,Benjamin Franklin Classical Charter School,Public
26,Berwick Academy,Independent
27,Bigelow Middle School,Public
28,Bird Middle School,Public
29,Bishop Feehan High School,Parochial
30,Blanchard Middle School,Public
31,Blessed Sacrament School,Parochial
32,Boston Archdiocesan Choir School,Parochial
33,Boston College High School,Parochial
34,Boston Collegiate Charter School,Public
35,Boston Latin Academy,Public
36,Boston Latin School,Public
37,Boston Prep Charter School,Public
38,Boston Renaissance Charter Public School,Charter
39,Boston Renaissance Charter School,Charter
40,Boston Renaissance Charter School,Public
41,Boston Teachers Union School,Public
42,Boston Trinity Academy,Parochial
43,Brimmer and May School,Independent
44,British International School of Boston,Independent
45,British School of Boston,Independent
46,Brooke Roslinale,Charter
47,Brooke Roslinale,Public
48,Brooke Roslindale,Charter
49,Brookline High School,Public
50,Brooks School,Independent
51,Brookwood School,Independent
52,Brown Middle School,Public
53,"Buckingham, Browne & Nichols School",Independent
54,C. E. Roderick School,Public
55,Cambridge Friends School,Independent
56,Cambridge Montessori School,Independent
57,Cambridge Ringe and Latin School,Public
58,Cambridgeport School,Public
59,Canton High School,Public
60,Cape Cod Academy,Independent
61,Catholic Memorial High School,Parochial
62,Centennial High School,Public
63,Charles E. Brown Middle School,Public
64,Charles River School,Independent
65,Chatham High School,Public
66,Chenery Middle School,Public
67,ChungSol Middle School-Korea,Independent
68,Cincinatti Hills Christian Academy,Parochial
69,Clarke Middle School,Public
70,Cohasset Middle School,Public
71,Cole Middle School,Public
72,Community Charter School of Cambridge,Public
73,Community Day Public School,Public
74,Concord Middle School,Public
75,Curtis Middle School,Public
76,Cyril Brennan Middle School,Public
77,Dana Hall School,Independent
78,Dedham Country Day School,Independent
79,Dedham High School,Public
80,Dedham Middle School,Public
81,Delphi Academy,Independent
82,Derby Academy,Independent
83,Devotion Elementary School,Public
84,Dexter Southfield School,Independent
85,Diamond Middle School,Public
86,Dover Sherborn High School,Public
87,Dover Sherborn Middle School,Public
88,Driscoll School,Public
89,Duxbury High School,Public
90,Duxbury Middle School,Public
91,E. W. Thurston Middle School,Public
92,Eaglebrook School,Independent
93,Easton Junior High School,Public
94,Edgemont Junior-Senior High School,Public
95,Edith C. Baker School,Public
96,Edward Brooke Charter School Mattapan,Charter
97,Eleanor N. Johnson Middle School,Public
98,Eliot Montessori School,Independent
99,Ephraim Curtis Middle School,Public
100,Epiphany Middle School,Independent
101,Episcopal Academy,Independent
102,Esperanza Academy,Independent
103,Excel Academy Charter- East Boston,Charter
104,Excel Academy Charter- East Boston,Public
105,F. A. Day Middle School,Public
106,Falmouth Academy,public
107,Falmouth High School,Public
108,Fay School,Independent
109,Fay School,Public
110,Fayerweather School,Independent
111,Fenn School,Independent
112,Framingham High School,Public
113,Franklin D Roosevelt K-8 School,Public
114,Franklin High School,Public
115,Freeman Centennial School,Public
116,Fuller Middle School,Public
117,Furnace Brook Middle School,Public
118,Galvin Middle School-Canton,Public
119,Gardner Pilot Academy,Public
120,Gates Intermediate School,Public
121,Gibbons Middle School,Public
122,Gilmore Academy,Public
123,Glover Elementary School,Public
124,Governor Academy,Independent
125,Grafton Middle School,Public
126,Greengate School,Independent
127,Greenhill School,Independent
128,Greenwich Academy,Independent
129,Groton Dunstable Regional High School,Public
130,Groton School,Independent
131,Guillmette,Public
132,Hamilton Wenham High School,Public
133,Hampstead Academy,Independent
134,Hanover High,Public
135,Hanover High School,Public
136,Hanover Middle School,Public
137,Hatherly Elementary School,Public
138,Heath School,Public
139,High Rock Middle School,Public
140,High Rock School,Public
141,Hillside School-Marlboro,Independent
142,Hingham High School,Public
143,Hingham Middle School,Public
144,Holy Name School,Parochial
145,Home School,Home School
146,Hopkins School,Independent
147,Horace Mann Middle School,Public
148,International School of Boston,Independent
149,Jackson School,Parochial
150,James P. Timilty Middle School,Public
151,Jenkins Elementary School,Public
152,John F. Parker Middle School,Public
153,John Glenn Middle School,Public
154,Johnson Middle School,Public
155,Jonas Clarke Middle School,Public
156,Joseph Brooks MS,Public
157,Joyce Kilmer School,Public
158,Kennedy Middle School,Public
159,Kennedy Middle School - Natick,Public
160,Kennedy Middle School-Waltham,Public
161,Kennedy School,Public
162,Kent Place School,Independent
163,King Open,Public
164,King Philip Middle School,Public
165,King Philip Regional High School,Public
166,Kingsley Montessori School,Independent
167,KIPP Academy Lynn Charter School,Public
168,Lawrence Academy,Independent
169,Lawrence Family Development Charter School,Charter
170,Lawrence High School,Public
171,Leonard School,Public
172,Lexington High School,Public
173,Lincoln School-Lincoln,Public
174,Lincoln-Sudbury High School,Public
175,Lincoln/Sudbury Regional High School,Public
176,Littleton Middle School,Public
177,Lovejoy High School,Public
178,Lynnfield Middle School,Public
179,Malden Catholic High School,Parochial
180,Manchester Essex Regional High School,Public
181,Maple Street School,Independent
182,Marblehead Veterans Middle School,Public
183,Maria Weston Chapman Middle School,Public
184,Marianapolis Preparatory School,Independent
185,Marshfield High School,Public
186,Mary E. Curley Middle School,Public
187,Marymount School of Rome,Independent
188,McCall Middle School,Public
189,Medfield High School,Public
190,Medway High School,Public
191,Medway Middle School,Public
192,Mercymount Country Day,Independent
193,Merriam School,Public
194,Middlebrook School,Public
195,Middlesex School,Independent
196,Miles River Middle School,Public
197,Mill Pond School,Public
198,Millis High School,Public
199,Millis Middle School,Public
200,Milton Academy,Independent
201,Milton High School,Public
202,Mission Hill Pilot School,Public
203,Monsignor James J. Haddad Middle School,Parochial
204,Montrose School,Parochial
205,Montrose School,Independent
206,Morse School,Public
207,Mother Caroline Academy,Independent
208,Mount Alvernia Academy,Parochial
209,Mount Alvernia Academy,Independent
210,Mount Alvernia High School,Parochial
211,Mount St. Charles Academy,Parochial
212,Nashoba Brooks School,Independent
213,Natick High School,Public
214,Nativity Preparatory School,Independent
215,Nativity School of Worcester,Independent
216,Needham High School,Public
217,Neighborhood House Charter School,Public
218,Neighborhood Schools,Independent
219,New Canaan High School,Public
220,New England Baptist Academy,Parochial
221,"New Trier High School, Northfield, IL",Public
222,Newton Country Day School of the Sacred Heart,Independent
223,Newton North High School,Public
224,"Newton School (S. Strafford, VT)",Public
225,Newton South High School,Public
226,North Andover High School,Public
227,North Attleboro High School,Public
228,North Attleborough Middle School,Public
229,North Pembroke Elementary School,Public
230,North Smithfileld HS,Public
231,Northbrook Academy,Independent
232,Norton Middle School,Public
233,Norwell High School,Public
234,Norwell Middle School,Public
